,Time (s), Time (min), Total Electrical Energy, Change in Energy,Wmax,xi,yi,zi,group_idx,area,separation,w_vol,w_time,eta_c,eta_m
2872,3287.0,54.7833333333333,25972700000.0,-1528050000.0,58.40128000000001,223.0,243.0,38.0,10,269.1420154566913,2741.25,1589.68359375,3000,0.008900622492845357,0.05883292842099589
2873,3288.0,54.8,27143000000.0,-3042860000.0,58.47184,216.0,204.0,81.0,10,231.83027307856378,3816.25,1589.68359375,3000,0.053147336151033266,0.11210477839590317
2874,3288.0,54.8,27143000000.0,-2108730000.0,58.47184,233.0,334.0,73.0,10,683.7181188624256,3332.5,1589.68359375,3000,0.011271371805416257,0.07768964373871716
2875,3288.0,54.8,27143000000.0,-673330000.0,58.47184,204.0,339.0,43.0,10,169.66389358856225,2096.25,1589.68359375,3000,0.009441382139694837,0.024806764174925396
2876,3289.0,54.8166666666667,26138000000.0,-3009960000.0,58.4909,215.0,202.0,81.0,10,234.98820771880813,3278.75,1589.68359375,3000,0.06036884214794328,0.11515647715969086
2877,3290.0,54.8333333333333,29160500000.0,-3644170000.0,58.58476999999999,218.0,200.0,79.0,10,399.0001389786013,4138.75,1589.68359375,3000,0.03213009579550245,0.12496939352891755
2878,3290.0,54.8333333333333,29160500000.0,-2064040000.0,58.58476999999999,204.0,339.0,43.0,10,232.86041402145162,2580.0,1589.68359375,3000,0.017133372395600463,0.07078205106222459
2879,3291.0,54.85,28464500000.0,-3888070000.0,58.63446,218.0,203.0,80.0,10,392.4821908640374,3332.5,1589.68359375,3000,0.044588722085476824,0.1365936517416431
2880,3291.0,54.85,28464500000.0,-2120270000.0,58.63446,224.0,247.0,38.0,10,774.4759647479121,4515.0,1589.68359375,3000,0.002605784105743367,0.07448822217147676
2881,3291.0,54.85,28464500000.0,-1358630000.0,58.63446,224.0,247.0,38.0,10,132.28433682522413,2203.75,1589.68359375,3000,0.020028268802564624,0.0477306820776757
2882,3292.0,54.866666666666696,26091800000.0,-3173690000.0,58.62761999999999,218.0,203.0,80.0,10,252.31662695795026,4622.5,1589.68359375,3000,0.04081527969432022,0.12163553300270583
2883,3292.0,54.866666666666696,26091800000.0,-583697000.0,58.62761999999999,205.0,340.0,43.0,10,358.7859547952808,3440.0,1589.68359375,3000,0.0023584881648895197,0.022370898136579307
2884,3293.0,54.883333333333304,27946600000.0,-849201000.0,58.684169999999995,205.0,340.0,43.0,10,359.2682353643675,4085.0,1589.68359375,3000,0.002885623933941354,0.030386558651141822
2885,3293.0,54.883333333333304,27946600000.0,-776228000.0,58.684169999999995,205.0,340.0,43.0,10,216.8381113350407,2042.5,1589.68359375,3000,0.008740408679636807,0.02777540022757688
2886,3294.0,54.9,28962100000.0,-3001360000.0,58.70359000000001,217.0,201.0,80.0,10,192.0655294906308,2633.75,1589.68359375,3000,0.08899696108531942,0.10363060689659935
2887,3294.0,54.9,28962100000.0,-356012000.0,58.70359000000001,205.0,340.0,43.0,10,172.2598064743621,2795.0,1589.68359375,3000,0.0036875590702494646,0.012292340679715904
2888,3294.0,54.9,28962100000.0,-578448000.0,58.70359000000001,205.0,340.0,43.0,10,257.5238450677419,3332.5,1589.68359375,3000,0.003361373979357671,0.019972584860904422
2889,3295.0,54.9166666666667,26264300000.0,-3269210000.0,58.66774,218.0,202.0,80.0,10,272.0761753180872,3708.75,1589.68359375,3000,0.04859659144688018,0.12447352489881702
2890,3295.0,54.9166666666667,26264300000.0,-764601000.0,58.66774,223.0,252.0,37.0,10,298.2080036956199,3010.0,1589.68359375,3000,0.0035533386586928542,0.029111798144249038
2891,3296.0,54.9333333333333,27605000000.0,-925407000.0,58.675219999999996,216.0,202.0,81.0,10,381.60768333076265,1935.0,1589.68359375,3000,0.019366056531217632,0.03352316609309908
2892,3296.0,54.9333333333333,27605000000.0,-3766530000.0,58.675219999999996,218.0,199.0,79.0,10,1066.957733441795,3762.5,1589.68359375,3000,0.013660712119241924,0.13644376018837168
2893,3297.0,54.95,28991900000.0,-3675940000.0,58.66086,219.0,201.0,79.0,10,349.0015999539653,4515.0,1589.68359375,3000,0.03396556740834244,0.12679196603189166
2894,3297.0,54.95,28991900000.0,-2157260000.0,58.66086,223.0,252.0,37.0,10,584.9021550746528,3870.0,1589.68359375,3000,0.003975537317923545,0.07440905908201946
2895,3298.0,54.9666666666667,28986900000.0,-3674210000.0,58.59372,217.0,200.0,80.0,10,388.0592751233866,2956.25,1589.68359375,3000,0.04804031122031573,0.12675415446287805
